Number,Description,Last Updated,SEC Number,Topic(s),page
11-K,"Annual reports of employee stock purchase, savings and similar plans pursuant to Section 15(d) (PDF)",July 2022,SEC617,"Securities Exchange Act of 1934, Public Companies",1
12b-25,Notification of late filing (PDF),Jan. 2019,SEC1344,"Securities Exchange Act of 1934, Public Companies",1
13F,Information required of institutional investment managers pursuant to Section 13(f) (PDF),July 2023,SEC1685,Securities Exchange Act of 1934,1
13H,Information Required of Large Traders Pursuant To Section 13(h) of the Securities Exchange Act of 1934 (PDF),Nov. 2011,SEC2858,Securities Exchange Act of 1934,1
144,Notice of proposed sale of securities pursuant to Rule 144 (PDF),July 2022,SEC1147,"Securities Act of 1933, Investors",1
15,Certification and notice of termination of registration under Section 12(g) or suspension of duty to file reports under Sections 13 and 15(d) (PDF),Aug. 2011,SEC2069,Securities Exchange Act of 1934,1
15F,Certification of a foreign private issuer’s termination of registration of a class of securities under Section 12(g) or its termination of the duty to file reports under Section 13(a) or Section 15(d) (PDF),Jan. 2014,,Securities Exchange Act of 1934,1
17-H,Risk Assessment for Brokers & Dealers (PDF),Jan. 2010,SEC2332,Broker-Dealers,1
18,Application for registration pursuant to Section 12(b) & (c) of the Securities Exchange Act of 1934 (PDF),Feb. 2025,SEC1421,"Securities Exchange Act of 1934, International",1
18-K,Annual report for foreign governments and political subdivisions thereof (PDF),April 2007,SEC1797,"Securities Exchange Act of 1934, International",1
19b-4,Proposed rule change by self-regulatory organization (PDF),Jan. 2013,SEC1832,Self-Regulatory Organizations,2
19b-7,Proposed rule change by self-regulatory organization (PDF),July 2007,SEC2450,Self-Regulatory Organizations,2
2-E,Report of sales pursuant to Rule 609 of Regulation E (PDF),Feb. 2024,SEC1808,"Investment Company Act of 1940, Small Businesses, Investment Companies",2
20-F,Registration statement / Annual report / Transition report (PDF),July 2024,SEC1852,"Securities Exchange Act of 1934, Public Companies, International",2
24F-2,Annual notice of securities sold pursuant to Rule 24-f2 (PDF),Jan. 2022,SEC2393,"Investment Company Act of 1940, Investment Companies",2
24F-2,Annual notice of securities sold pursuant to Rule 24-f2 (with amendments adopted in 2024 RILAs release) (PDF),Sept. 2024,SEC2393,"Investment Company Act of 1940, Investment Companies",2
25,"Notification of the removal from listing and registration of matured, redeemed or retired securities (PDF)",March 2006,SEC1654,"Public Companies, Self-Regulatory Organizations",2
